Annual Income,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Home Ownership,Years in current job,Purpose,Term,monthly_debt_to_annual_income,part_of_loan_to_pay,months_to_pay,was_bankrupt,was_problems,is_tax_liens,was_delinquent_in_last_month,Credit Default
-0.30652222254441874,-0.1031789807490464,0.1748283522297267,1.688571636488888,0.4939513204600666,-0.3264900671789613,2.0864410263612663,-0.3273751528441557,-0.35905471909910125,1.170685516299314,0.6840745623871922,-0.24656135598406312,Rent,10+ years,debt consolidation,Long Term,1.285204928684998,-0.26950520252724464,0.47362466150250554,0,0,0,0,1.0
-0.4814976126663617,-0.1031789807490464,-0.23379231442851003,0.26503443758118966,-0.2543217511249036,-0.3264900671789613,1.5122126804342657,-0.3273751528441557,-0.36509098972766657,-0.13339102108742237,-0.29825533953345074,-0.23500507126117104,Home Mortgage,4 years,debt consolidation,Short Term,0.12057308249431505,0.04056462490510625,-0.07093545001317225,0,0,0,0,0.0
-1.1300514386196123,-0.1031789807490464,-1.2553439810741018,1.3221165159779953,-0.1698697253369377,-0.3264900671789613,0.05455611000418752,-0.3273751528441557,2.7511385336896237,-0.6872665682669916,-1.4411795293261658,-0.2268476938097178,Rent,2 years,debt consolidation,Short Term,-1.5732750900890433,0.5737980276098827,1.8782733015893411,0,0,0,0,0.0
-0.2027334643907894,-0.1031789807490464,-1.2553439810741018,-0.7920476408156161,0.03193835744217998,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,-0.37074578344905196,-0.7550218863330215,-1.3520074379024625,-0.23772419707832212,Rent,1 year,other,Short Term,-1.6796928270119744,0.2902606214114218,-0.05186031703469229,0,0,0,1,1.0
-0.7354354998189034,-0.1031789807490464,1.6050006855335552,-0.3833092371688511,-0.5200685370715997,-0.3264900671789613,0.0987275212293414,-0.3273751528441557,-0.37145787367578775,-0.8512788117467264,-0.28363280700615157,-0.2717132697927106,Rent,1 year,debt consolidation,Short Term,0.6863245047447256,0.5007814919101236,-1.0379476861140333,0,0,0,0,0.0
-0.8646892947404904,-0.1031789807490464,0.9920696855462001,-1.031652911918892,0.33192915776323256,-0.3264900671789613,-0.07795812367127412,-0.3273751528441557,-0.36484285790155496,0.14980459044296954,-0.3487157552490439,-0.23772419707832212,Own Home,5 years,debt consolidation,Short Term,0.9303351230668814,-0.14180295766596634,0.36838174305925636,0,0,0,0,1.0
-0.07946204906688475,-0.1031789807490464,-0.6424129810867467,-1.031652911918892,-0.29326397809941324,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,-0.36964259347423445,-0.3072451369646578,0.34057183295977067,4.329727394281202,Home Mortgage,< 1 year,debt consolidation,Short Term,0.40894778850159375,-0.36200167520414717,-0.5627334913156603,0,0,0,1,1.0
-0.13599369364292951,-0.1031789807490464,0.5834490188879634,2.9852589859889695,0.8913804032279593,-0.3264900671789613,0.8938129232821113,-0.3273751528441557,-0.35288510338946766,1.2629601812053597,0.11202080432499022,4.064612627108971,Rent,< 1 year,debt consolidation,Long Term,0.19827682881955067,-0.03929398547482989,1.0981782055032525,0,0,0,0,1.0
-0.9006572772086909,-0.1031789807490464,-1.2553439810741018,-1.3558247492939124,-0.448668939950961,-0.3264900671789613,1.6447269141097274,-0.3273751528441557,-0.3685916417785984,-0.6899972611865294,-1.3135493321225715,-0.2608367665241063,Home Mortgage,< 1 year,debt consolidation,Short Term,-1.35790924510773,0.3412235749833865,0.24927361670932166,0,0,0,0,1.0
-0.2027334643907894,-0.1031789807490464,-0.029481981099391662,-0.4255925203047232,-0.21705036736382874,1.6169031898386654,0.18707034367964917,2.534295763625736,-0.364101211806335,-0.38194096620117934,0.2962816188308413,-0.23772419707832212,Home Mortgage,10+ years,debt consolidation,Short Term,0.5410694134787846,0.25864210638779794,-0.618771522435033,1,1,0,0,1.0
